ArtikelNr;Bezeichnung;VKNetto1;EAN1
8809253644588;Xenos Cantabile korean pouch drink - perzik - 230 ml;1,26;
0798190261249;Yuzuka light 0,33l;2,35;
0742832682022;Yuzuka original 0,33l;2,35;
8809451240025;Yzza concentrsted Juice & Mix 1Kg;8,82;
ANR2431908270;Dokusenmai 5Kg*2EA;37,29;
ANR1839753772;Frozen Produckt;0;
ANR4901343169;Kim's Kimchi Chonggak;8,41;
ANR6915274473;Kim's Kimchi large ;6,54;
ANR3760892733;Kim's Kimchi radish;3,74;
ANR6558343168;Kim's Kimchi small;2,8;
ANR4100434467;Kim's Kimchi Yulmu;4,67;
ANR4271166254;Min Sok Goma 300g;5,14;
ANR5370466956;Sesame oil 0,35L Minsok ;11,12;
ANR9369727754;Sesame oil 0,7 L Minsok;21,03;
ANR3382462918;Shitake Pilze 100g;3,93;
ANR1208442823;Sojabohnen 1kg;5,51;
ANR3228715661;test gemüse;0;
ANR3788477111;Troken waren;0;
ANR0447550202;Yume Nishiki 5Kg*2EA;43,83;
ANR4942026506;Yume Nishiki 5Kg*2EA;43,83;
4956199047103;Akitagomachi 10Kg;49,44;4994424216405
4986263000062;Dokusenmai 5Kg;19,16;
0081652000327;Ehiechun Reis 9.07Kg;23,27;
8809143065028;Hadong Rice 2Kg;5,42;
4956199867107;Hanaechizen 10Kg;43,83;
9120027410031;Kimpo 9.07Kg;21,4;9120027410031
8410769001972;Minori 10Kg;43,83;
8410769001965;Minori 5Kg ;24,77;
8809001812320;NH Reis 4Kg;14,02;
8809137700904;Plus 15 sort 800g;9,25;
8809137700911;Plus 25 sort 800g;9,81;
4006599000687;Yume Nishiki 10Kg;44,77;
4006599000670;Yzme Nishiki 5Kg;26,07;
8801052732350;CJW, Soup Soy sauce 840ml;4,95;
4901515120411;Kikkoman BIO Soy sauce 500ml;4,58;
8715035150300;kikkoman Glutenfree soy sauce 250ml;3,64;
8715035150805;Kikkoman glutenfreie Soy sauce 1L;8,32;
4901515359958;Kikkoman Hon Tsuyu 1L;9,81;
4901515122217;Kikkoman Koikuchi 500ml ;3,93;
4901515111150;Kikkoman Koikuchi Shoyu ;6,45;
4901515120404;Kikkoman Marudaizu 500ml;5,14;
4901515115172;Kikkoman Marudaizu Shoyu 1L;9,25;
8715035644007;Kikkoman Mirin-Fu 125ml;2,06;
8715035450301;Kikkoman poke sauce 250ml ;4,21;
8715035450806;Kikkoman Poke sauce 975ml;15,79;
8715035520806;Kikkoman Ponzu 1L ;12,06;
8715035520301;Kikkoman Ponzu 250ml;4,21;
8715035590304;Kikkoman Ramen Shoyu 250ml ;4,21;
8715035670501;Kikkoman salt less soy sauce 480ml;5,61;
8715035670808;Kikkoman salzreduzierte Soy sauce 975ml;8,32;
8715035584006;Kikkoman sesame oil 125ml;3,27;
8715035110106;kikkoman soy sauce 150ml;2,8;
8715035110809;Kikkoman Soy sauce 1L;6,45;
8715035110304;kikkoman Soy sauce 250ml;3,08;
8715035110502;Kikkoman Soy sauce 500ml ;5,14;
8715035150102;Kikkoman Soy sauce glutenfree 150ml;3,55;
8715035240308;Kikkoman Sushi & Sashimi soy sauce 250ml ;3,64;
8715035614000;Kikkoman Sushi Su glutenfree 125ml;2,06;
8715035490307;Kikkoman Terixaki less salt 250ml ;4,21;
8715035210301;kikkoman Teriyaki 250ml ;4,21;
8715035290303;Kikkoman Teriyaki glutenfree 250ml ;4,49;
8715035330801;Kikkoman Teriyaki Sauce 975ml;15,79;
8715035310308;Kikkoman Teriyaki sauce honig 250ml;4,21;
8715035270305;Kikkoman Teriyaki sauce knoblauch 250ml;4,21;
8715035280304;kikkoman Teriyaki sauce sesam 250ml;4,21;
4901515008306;Kikkoman Tofu Miso ;3,55;
4901515112713;Kikkoman Usukuchi Shoyu 1L;7,38;
8715035360303;Kikkoman Yakitori sauce 250ml;4,21;
5060336504035;Mizkan Rice Vinegar 568ml;4,21;
8801005140485;Sempo Soysauce 501 1.7L ;10,75;
4562139012928;Benitenshi Yakiimo 500g;9,25;
9120027413278;Cut Crab;11,21;
9120027411731;Dried Anchovy 453g;12,8;
8807780880868;E-Muk 1Kg;8,97;
8807780013044;E-Muk 500g;4,95;
5420076400194;Garnelen 21/25 1Kg;13,93;
ANR1275078720;Ice, Kono gelato Hojicha;4,07;
ANR8667777626;Ice, Kono Gelato Kurogoma;4,07;
ANR0479524070;Ice, Kono gelato Macha;4,21;
ANR4021269906;Ice, Kono gelato Sencha;4,21;
8801024944569;Jongga Tokbikki 500g;3,64;
4562129645907;Kakifurai 300g;8,6;
0081652205524;Kimchi Son Mandu 1.3Kg;11,12;
0074410358372;Natto 3PCs;3,27;
8801548034128;Son Mandu 907g;9,81;
